State,Region Type,ASGS 2011,Frequency,Selected Medians and Averages,Time,Value,Flags
"Victoria","Statistical Area Level 3","Banyule","Annual","Median total personal income ($/weekly)","2011",616,
"Victoria","Statistical Area Level 3","Darebin - North","Annual","Median total personal income ($/weekly)","2001",288,
"Victoria","Statistical Area Level 3","Darebin - North","Annual","Median total personal income ($/weekly)","2006",354,
"Victoria","Statistical Area Level 3","Darebin - North","Annual","Median total personal income ($/weekly)","2011",454,
"Victoria","Statistical Area Level 3","Nillumbik - Kinglake","Annual","Median total personal income ($/weekly)","2001",479,
"Victoria","Statistical Area Level 3","Nillumbik - Kinglake","Annual","Median total personal income ($/weekly)","2006",561,
"Victoria","Statistical Area Level 3","Nillumbik - Kinglake","Annual","Median total personal income ($/weekly)","2011",685,
"Victoria","Statistical Area Level 3","Whittlesea - Wallan","Annual","Median total personal income ($/weekly)","2001",354,
"Victoria","Statistical Area Level 3","Whittlesea - Wallan","Annual","Median total personal income ($/weekly)","2006",412,
"Victoria","Statistical Area Level 3","Whittlesea - Wallan","Annual","Median total personal income ($/weekly)","2011",524,
"Victoria","Statistical Area Level 3","Keilor","Annual","Median total personal income ($/weekly)","2001",386,
"Victoria","Statistical Area Level 3","Keilor","Annual","Median total personal income ($/weekly)","2006",443,
"Victoria","Statistical Area Level 3","Keilor","Annual","Median total personal income ($/weekly)","2011",545,
"Victoria","Statistical Area Level 3","Macedon Ranges","Annual","Median total personal income ($/weekly)","2001",429,
"Victoria","Statistical Area Level 3","Macedon Ranges","Annual","Median total personal income ($/weekly)","2006",518,
"Victoria","Statistical Area Level 3","Macedon Ranges","Annual","Median total personal income ($/weekly)","2011",627,
"Victoria","Statistical Area Level 3","Moreland - North","Annual","Median total personal income ($/weekly)","2001",298,
"Victoria","Statistical Area Level 3","Moreland - North","Annual","Median total personal income ($/weekly)","2006",361,
"Victoria","Statistical Area Level 3","Moreland - North","Annual","Median total personal income ($/weekly)","2011",462,
"Victoria","Statistical Area Level 3","Sunbury","Annual","Median total personal income ($/weekly)","2001",430,
"Victoria","Statistical Area Level 3","Sunbury","Annual","Median total personal income ($/weekly)","2006",510,
"Victoria","Statistical Area Level 3","Sunbury","Annual","Median total personal income ($/weekly)","2011",623,
"Victoria","Statistical Area Level 3","Tullamarine - Broadmeadows","Annual","Median total personal income ($/weekly)","2001",337,
"Victoria","Statistical Area Level 3","Tullamarine - Broadmeadows","Annual","Median total personal income ($/weekly)","2006",375,
"Victoria","Statistical Area Level 3","Tullamarine - Broadmeadows","Annual","Median total personal income ($/weekly)","2011",437,
"Victoria","Statistical Area Level 3","Knox","Annual","Median total personal income ($/weekly)","2001",430,
"Victoria","Statistical Area Level 3","Knox","Annual","Median total personal income ($/weekly)","2006",499,
"Victoria","Statistical Area Level 3","Knox","Annual","Median total personal income ($/weekly)","2011",597,
"Victoria","Statistical Area Level 3","Manningham - East","Annual","Median total personal income ($/weekly)","2001",489,
"Victoria","Statistical Area Level 3","Manningham - East","Annual","Median total personal income ($/weekly)","2006",558,
"Victoria","Statistical Area Level 3","Manningham - East","Annual","Median total personal income ($/weekly)","2011",672,
"Victoria","Statistical Area Level 3","Maroondah","Annual","Median total personal income ($/weekly)","2001",431,
"Victoria","Statistical Area Level 3","Maroondah","Annual","Median total personal income ($/weekly)","2006",501,
"Victoria","Statistical Area Level 3","Maroondah","Annual","Median total personal income ($/weekly)","2011",608,
"Victoria","Statistical Area Level 3","Whitehorse - East","Annual","Median total personal income ($/weekly)","2001",420,
"Victoria","Statistical Area Level 3","Whitehorse - East","Annual","Median total personal income ($/weekly)","2006",497,
"Victoria","Statistical Area Level 3","Whitehorse - East","Annual","Median total personal income ($/weekly)","2011",589,
"Victoria","Statistical Area Level 3","Yarra Ranges","Annual","Median total personal income ($/weekly)","2001",402,
"Victoria","Statistical Area Level 3","Yarra Ranges","Annual","Median total personal income ($/weekly)","2006",474,
"Victoria","Statistical Area Level 3","Yarra Ranges","Annual","Median total personal income ($/weekly)","2011",578,
"Victoria","Statistical Area Level 3","Cardinia","Annual","Median total personal income ($/weekly)","2001",395,
"Victoria","Statistical Area Level 3","Cardinia","Annual","Median total personal income ($/weekly)","2006",477,
"Victoria","Statistical Area Level 3","Cardinia","Annual","Median total personal income ($/weekly)","2011",593,
"Victoria","Statistical Area Level 3","Casey - North","Annual","Median total personal income ($/weekly)","2001",412,
"Victoria","Statistical Area Level 3","Casey - North","Annual","Median total personal income ($/weekly)","2006",471,
"Victoria","Statistical Area Level 3","Casey - North","Annual","Median total personal income ($/weekly)","2011",554,
"Victoria","Statistical Area Level 3","Casey - South","Annual","Median total personal income ($/weekly)","2001",429,
"Victoria","Statistical Area Level 3","Casey - South","Annual","Median total personal income ($/weekly)","2006",488,
"Victoria","Statistical Area Level 3","Casey - South","Annual","Median total personal income ($/weekly)","2011",587,
"Victoria","Statistical Area Level 3","Dandenong","Annual","Median total personal income ($/weekly)","2001",308,
"Victoria","Statistical Area Level 3","Dandenong","Annual","Median total personal income ($/weekly)","2006",355,
"Victoria","Statistical Area Level 3","Dandenong","Annual","Median total personal income ($/weekly)","2011",412,
"Victoria","Statistical Area Level 3","Monash","Annual","Median total personal income ($/weekly)","2001",393,
"Victoria","Statistical Area Level 3","Monash","Annual","Median total personal income ($/weekly)","2006",440,
"Victoria","Statistical Area Level 3","Monash","Annual","Median total personal income ($/weekly)","2011",518,
"Victoria","Statistical Area Level 3","Brimbank","Annual","Median total personal income ($/weekly)","2001",307,
"Victoria","Statistical Area Level 3","Brimbank","Annual","Median total personal income ($/weekly)","2006",351,
"Victoria","Statistical Area Level 3","Brimbank","Annual","Median total personal income ($/weekly)","2011",422,
"Victoria","Statistical Area Level 3","Hobsons Bay","Annual","Median total personal income ($/weekly)","2001",387,
"Victoria","Statistical Area Level 3","Hobsons Bay","Annual","Median total personal income ($/weekly)","2006",469,
"Victoria","Statistical Area Level 3","Hobsons Bay","Annual","Median total personal income ($/weekly)","2011",595,
"Victoria","Statistical Area Level 3","Maribyrnong","Annual","Median total personal income ($/weekly)","2001",314,
"Victoria","Statistical Area Level 3","Maribyrnong","Annual","Median total personal income ($/weekly)","2006",419,
"Victoria","Statistical Area Level 3","Maribyrnong","Annual","Median total personal income ($/weekly)","2011",571,
"Victoria","Statistical Area Level 3","Melton - Bacchus Marsh","Annual","Median total personal income ($/weekly)","2001",409,
"Victoria","Statistical Area Level 3","Melton - Bacchus Marsh","Annual","Median total personal income ($/weekly)","2006",497,
"Victoria","Statistical Area Level 3","Melton - Bacchus Marsh","Annual","Median total personal income ($/weekly)","2011",602,
"Victoria","Statistical Area Level 3","Wyndham","Annual","Median total personal income ($/weekly)","2001",424,
"Victoria","Statistical Area Level 3","Wyndham","Annual","Median total personal income ($/weekly)","2006",508,
"Victoria","Statistical Area Level 3","Wyndham","Annual","Median total personal income ($/weekly)","2011",625,
"Victoria","Statistical Area Level 3","Frankston","Annual","Median total personal income ($/weekly)","2001",382,
"Victoria","Statistical Area Level 3","Frankston","Annual","Median total personal income ($/weekly)","2006",459,
"Victoria","Statistical Area Level 3","Frankston","Annual","Median total personal income ($/weekly)","2011",566,
"Victoria","Statistical Area Level 3","Mornington Peninsula","Annual","Median total personal income ($/weekly)","2001",361,
"Victoria","Statistical Area Level 3","Mornington Peninsula","Annual","Median total personal income ($/weekly)","2006",438,
"Victoria","Statistical Area Level 3","Mornington Peninsula","Annual","Median total personal income ($/weekly)","2011",539,
"Victoria","Statistical Area Level 3","Grampians","Annual","Median total personal income ($/weekly)","2001",325,
"Victoria","Statistical Area Level 3","Grampians","Annual","Median total personal income ($/weekly)","2006",392,
"Victoria","Statistical Area Level 3","Grampians","Annual","Median total personal income ($/weekly)","2011",481,
"Victoria","Statistical Area Level 3","Mildura","Annual","Median total personal income ($/weekly)","2001",336,
"Victoria","Statistical Area Level 3","Mildura","Annual","Median total personal income ($/weekly)","2006",396,
"Victoria","Statistical Area Level 3","Mildura","Annual","Median total personal income ($/weekly)","2011",464,
"Victoria","Statistical Area Level 3","Murray River - Swan Hill","Annual","Median total personal income ($/weekly)","2001",327,
"Victoria","Statistical Area Level 3","Murray River - Swan Hill","Annual","Median total personal income ($/weekly)","2006",384,
"Victoria","Statistical Area Level 3","Murray River - Swan Hill","Annual","Median total personal income ($/weekly)","2011",451,
"Victoria","Statistical Area Level 3","Campaspe","Annual","Median total personal income ($/weekly)","2001",344,
"Victoria","Statistical Area Level 3","Campaspe","Annual","Median total personal income ($/weekly)","2006",397,
"Victoria","Statistical Area Level 3","Campaspe","Annual","Median total personal income ($/weekly)","2011",470,
"Victoria","Statistical Area Level 3","Moira","Annual","Median total personal income ($/weekly)","2001",328,
"Victoria","Statistical Area Level 3","Moira","Annual","Median total personal income ($/weekly)","2006",380,
"Victoria","Statistical Area Level 3","Moira","Annual","Median total personal income ($/weekly)","2011",437,
"Victoria","Statistical Area Level 3","Shepparton","Annual","Median total personal income ($/weekly)","2001",364,
"Victoria","Statistical Area Level 3","Shepparton","Annual","Median total personal income ($/weekly)","2006",428,
"Victoria","Statistical Area Level 3","Shepparton","Annual","Median total personal income ($/weekly)","2011",512,
"Victoria","Statistical Area Level 3","Glenelg - Southern Grampians","Annual","Median total personal income ($/weekly)","2001",329,
"Victoria","Statistical Area Level 3","Glenelg - Southern Grampians","Annual","Median total personal income ($/weekly)","2006",416,
"Victoria","Statistical Area Level 3","Glenelg - Southern Grampians","Annual","Median total personal income ($/weekly)","2011",488,
"Victoria","Statistical Area Level 3","Warrnambool - Otway Ranges","Annual","Median total personal income ($/weekly)","2001",338,
"Victoria","Statistical Area Level 3","Warrnambool - Otway Ranges","Annual","Median total personal income ($/weekly)","2006",422,
"Victoria","Statistical Area Level 3","Warrnambool - Otway Ranges","Annual","Median total personal income ($/weekly)","2011",517,
"Victoria","Statistical Area Level 3","Migratory - Offshore - Shipping (Vic.)","Annual","Median total personal income ($/weekly)","2001",1217,
"Victoria","Statistical Area Level 3","Migratory - Offshore - Shipping (Vic.)","Annual","Median total personal income ($/weekly)","2006",1494,
"Victoria","Statistical Area Level 3","Migratory - Offshore - Shipping (Vic.)","Annual","Median total personal income ($/weekly)","2011",2000,
"Queensland","Statistical Area Level 3","Capalaba","Annual","Median total personal income ($/weekly)","2001",409,
"Queensland","Statistical Area Level 3","Capalaba","Annual","Median total personal income ($/weekly)","2006",514,
"Queensland","Statistical Area Level 3","Capalaba","Annual","Median total personal income ($/weekly)","2011",641,
"Queensland","Statistical Area Level 3","Cleveland - Stradbroke","Annual","Median total personal income ($/weekly)","2001",357,
"Queensland","Statistical Area Level 3","Cleveland - Stradbroke","Annual","Median total personal income ($/weekly)","2006",468,
"Queensland","Statistical Area Level 3","Cleveland - Stradbroke","Annual","Median total personal income ($/weekly)","2011",576,
"Queensland","Statistical Area Level 3","Wynnum - Manly","Annual","Median total personal income ($/weekly)","2001",385,
"Queensland","Statistical Area Level 3","Wynnum - Manly","Annual","Median total personal income ($/weekly)","2006",520,
"Queensland","Statistical Area Level 3","Wynnum - Manly","Annual","Median total personal income ($/weekly)","2011",685,
"Queensland","Statistical Area Level 3","Bald Hills - Everton Park","Annual","Median total personal income ($/weekly)","2001",437,
"Queensland","Statistical Area Level 3","Bald Hills - Everton Park","Annual","Median total personal income ($/weekly)","2006",558,
"Queensland","Statistical Area Level 3","Bald Hills - Everton Park","Annual","Median total personal income ($/weekly)","2011",700,
"Queensland","Statistical Area Level 3","Chermside","Annual","Median total personal income ($/weekly)","2001",391,
"Queensland","Statistical Area Level 3","Chermside","Annual","Median total personal income ($/weekly)","2006",530,
"Queensland","Statistical Area Level 3","Chermside","Annual","Median total personal income ($/weekly)","2011",680,
"Queensland","Statistical Area Level 3","Nundah","Annual","Median total personal income ($/weekly)","2001",390,
"Queensland","Statistical Area Level 3","Nundah","Annual","Median total personal income ($/weekly)","2006",522,
"Queensland","Statistical Area Level 3","Nundah","Annual","Median total personal income ($/weekly)","2011",686,
"Queensland","Statistical Area Level 3","Sandgate","Annual","Median total personal income ($/weekly)","2001",361,
"Queensland","Statistical Area Level 3","Sandgate","Annual","Median total personal income ($/weekly)","2006",488,
"Queensland","Statistical Area Level 3","Sandgate","Annual","Median total personal income ($/weekly)","2011",621,
"Queensland","Statistical Area Level 3","Carindale","Annual","Median total personal income ($/weekly)","2001",430,
"Queensland","Statistical Area Level 3","Carindale","Annual","Median total personal income ($/weekly)","2006",567,
"Queensland","Statistical Area Level 3","Carindale","Annual","Median total personal income ($/weekly)","2011",718,
"Queensland","Statistical Area Level 3","Holland Park - Yeronga","Annual","Median total personal income ($/weekly)","2001",419,
"Queensland","Statistical Area Level 3","Holland Park - Yeronga","Annual","Median total personal income ($/weekly)","2006",582,
"Queensland","Statistical Area Level 3","Holland Park - Yeronga","Annual","Median total personal income ($/weekly)","2011",732,
"Queensland","Statistical Area Level 3","Mt Gravatt","Annual","Median total personal income ($/weekly)","2001",373,
"Queensland","Statistical Area Level 3","Mt Gravatt","Annual","Median total personal income ($/weekly)","2006",490,
"Queensland","Statistical Area Level 3","Mt Gravatt","Annual","Median total personal income ($/weekly)","2011",581,
"Queensland","Statistical Area Level 3","Nathan","Annual","Median total personal income ($/weekly)","2001",367,
"Queensland","Statistical Area Level 3","Nathan","Annual","Median total personal income ($/weekly)","2006",484,
"Queensland","Statistical Area Level 3","Nathan","Annual","Median total personal income ($/weekly)","2011",593,
"Queensland","Statistical Area Level 3","Rocklea - Acacia Ridge","Annual","Median total personal income ($/weekly)","2001",401,
"Queensland","Statistical Area Level 3","Rocklea - Acacia Ridge","Annual","Median total personal income ($/weekly)","2006",512,
"Queensland","Statistical Area Level 3","Rocklea - Acacia Ridge","Annual","Median total personal income ($/weekly)","2011",625,
"Queensland","Statistical Area Level 3","Sunnybank","Annual","Median total personal income ($/weekly)","2001",373,
"Queensland","Statistical Area Level 3","Sunnybank","Annual","Median total personal income ($/weekly)","2006",444,
"Queensland","Statistical Area Level 3","Sunnybank","Annual","Median total personal income ($/weekly)","2011",501,
"Queensland","Statistical Area Level 3","Centenary","Annual","Median total personal income ($/weekly)","2001",476,
"Queensland","Statistical Area Level 3","Centenary","Annual","Median total personal income ($/weekly)","2006",613,
"Queensland","Statistical Area Level 3","Centenary","Annual","Median total personal income ($/weekly)","2011",747,
"Queensland","Statistical Area Level 3","Kenmore - Brookfield - Moggill","Annual","Median total personal income ($/weekly)","2001",506,
"Queensland","Statistical Area Level 3","Kenmore - Brookfield - Moggill","Annual","Median total personal income ($/weekly)","2006",647,
"Queensland","Statistical Area Level 3","Kenmore - Brookfield - Moggill","Annual","Median total personal income ($/weekly)","2011",763,
"Queensland","Statistical Area Level 3","Sherwood - Indooroopilly","Annual","Median total personal income ($/weekly)","2001",379,
"Queensland","Statistical Area Level 3","Sherwood - Indooroopilly","Annual","Median total personal income ($/weekly)","2006",507,
"Queensland","Statistical Area Level 3","Sherwood - Indooroopilly","Annual","Median total personal income ($/weekly)","2011",595,
"Queensland","Statistical Area Level 3","The Gap - Enoggera","Annual","Median total personal income ($/weekly)","2001",437,
"Queensland","Statistical Area Level 3","The Gap - Enoggera","Annual","Median total personal income ($/weekly)","2006",573,
"Queensland","Statistical Area Level 3","The Gap - Enoggera","Annual","Median total personal income ($/weekly)","2011",727,
"Queensland","Statistical Area Level 3","Brisbane Inner","Annual","Median total personal income ($/weekly)","2001",465,
"Queensland","Statistical Area Level 3","Brisbane Inner","Annual","Median total personal income ($/weekly)","2006",660,
"Queensland","Statistical Area Level 3","Brisbane Inner","Annual","Median total personal income ($/weekly)","2011",878,
"Queensland","Statistical Area Level 3","Brisbane Inner - East","Annual","Median total personal income ($/weekly)","2001",485,
"Queensland","Statistical Area Level 3","Brisbane Inner - East","Annual","Median total personal income ($/weekly)","2006",680,
"Queensland","Statistical Area Level 3","Brisbane Inner - East","Annual","Median total personal income ($/weekly)","2011",900,
"Queensland","Statistical Area Level 3","Brisbane Inner - North","Annual","Median total personal income ($/weekly)","2001",495,
"Queensland","Statistical Area Level 3","Brisbane Inner - North","Annual","Median total personal income ($/weekly)","2006",678,
"Queensland","Statistical Area Level 3","Brisbane Inner - North","Annual","Median total personal income ($/weekly)","2011",834,
"Queensland","Statistical Area Level 3","Brisbane Inner - West","Annual","Median total personal income ($/weekly)","2001",489,
"Queensland","Statistical Area Level 3","Brisbane Inner - West","Annual","Median total personal income ($/weekly)","2006",653,
"Queensland","Statistical Area Level 3","Brisbane Inner - West","Annual","Median total personal income ($/weekly)","2011",843,
"Queensland","Statistical Area Level 3","Cairns - North","Annual","Median total personal income ($/weekly)","2001",451,
"Queensland","Statistical Area Level 3","Cairns - North","Annual","Median total personal income ($/weekly)","2006",568,
"Queensland","Statistical Area Level 3","Cairns - North","Annual","Median total personal income ($/weekly)","2011",660,
"Queensland","Statistical Area Level 3","Cairns - South","Annual","Median total personal income ($/weekly)","2001",407,
"Queensland","Statistical Area Level 3","Cairns - South","Annual","Median total personal income ($/weekly)","2006",513,
"Queensland","Statistical Area Level 3","Cairns - South","Annual","Median total personal income ($/weekly)","2011",594,
"Queensland","Statistical Area Level 3","Innisfail - Cassowary Coast","Annual","Median total personal income ($/weekly)","2001",322,
"Queensland","Statistical Area Level 3","Innisfail - Cassowary Coast","Annual","Median total personal income ($/weekly)","2006",406,
"Queensland","Statistical Area Level 3","Innisfail - Cassowary Coast","Annual","Median total personal income ($/weekly)","2011",469,
"Queensland","Statistical Area Level 3","Port Douglas - Daintree","Annual","Median total personal income ($/weekly)","2001",440,
"Queensland","Statistical Area Level 3","Port Douglas - Daintree","Annual","Median total personal income ($/weekly)","2006",546,
"Queensland","Statistical Area Level 3","Port Douglas - Daintree","Annual","Median total personal income ($/weekly)","2011",640,
"Queensland","Statistical Area Level 3","Tablelands (East) - Kuranda","Annual","Median total personal income ($/weekly)","2001",295,
"Queensland","Statistical Area Level 3","Tablelands (East) - Kuranda","Annual","Median total personal income ($/weekly)","2006",374,
"Queensland","Statistical Area Level 3","Tablelands (East) - Kuranda","Annual","Median total personal income ($/weekly)","2011",447,
"Queensland","Statistical Area Level 3","Darling Downs (West) - Maranoa","Annual","Median total personal income ($/weekly)","2001",361,
"Queensland","Statistical Area Level 3","Darling Downs (West) - Maranoa","Annual","Median total personal income ($/weekly)","2006",455,
"Queensland","Statistical Area Level 3","Darling Downs (West) - Maranoa","Annual","Median total personal income ($/weekly)","2011",600,
"Queensland","Statistical Area Level 3","Darling Downs - East","Annual","Median total personal income ($/weekly)","2001",344,
"Queensland","Statistical Area Level 3","Darling Downs - East","Annual","Median total personal income ($/weekly)","2006",407,
"Queensland","Statistical Area Level 3","Darling Downs - East","Annual","Median total personal income ($/weekly)","2011",511,
"Queensland","Statistical Area Level 3","Granite Belt","Annual","Median total personal income ($/weekly)","2001",291,
"Queensland","Statistical Area Level 3","Granite Belt","Annual","Median total personal income ($/weekly)","2006",370,
"Queensland","Statistical Area Level 3","Granite Belt","Annual","Median total personal income ($/weekly)","2011",445,
"Queensland","Statistical Area Level 3","Central Highlands (Qld)","Annual","Median total personal income ($/weekly)","2001",431,
"Queensland","Statistical Area Level 3","Central Highlands (Qld)","Annual","Median total personal income ($/weekly)","2006",638,
"Queensland","Statistical Area Level 3","Central Highlands (Qld)","Annual","Median total personal income ($/weekly)","2011",869,
"Queensland","Statistical Area Level 3","Gladstone - Biloela","Annual","Median total personal income ($/weekly)","2001",359,
"Queensland","Statistical Area Level 3","Gladstone - Biloela","Annual","Median total personal income ($/weekly)","2006",509,
"Queensland","Statistical Area Level 3","Gladstone - Biloela","Annual","Median total personal income ($/weekly)","2011",686,
"Queensland","Statistical Area Level 3","Rockhampton","Annual","Median total personal income ($/weekly)","2001",315,
"Queensland","Statistical Area Level 3","Rockhampton","Annual","Median total personal income ($/weekly)","2006",423,
"Queensland","Statistical Area Level 3","Rockhampton","Annual","Median total personal income ($/weekly)","2011",564,
"Queensland","Statistical Area Level 3","Broadbeach - Burleigh","Annual","Median total personal income ($/weekly)","2001",359,
"Queensland","Statistical Area Level 3","Broadbeach - Burleigh","Annual","Median total personal income ($/weekly)","2006",482,
"Queensland","Statistical Area Level 3","Broadbeach - Burleigh","Annual","Median total personal income ($/weekly)","2011",589,
"Queensland","Statistical Area Level 3","Coolangatta","Annual","Median total personal income ($/weekly)","2001",317,
"Queensland","Statistical Area Level 3","Coolangatta","Annual","Median total personal income ($/weekly)","2006",428,
"Queensland","Statistical Area Level 3","Coolangatta","Annual","Median total personal income ($/weekly)","2011",520,
"Queensland","Statistical Area Level 3","Gold Coast - North","Annual","Median total personal income ($/weekly)","2001",332,
"Queensland","Statistical Area Level 3","Gold Coast - North","Annual","Median total personal income ($/weekly)","2006",445,
"Queensland","Statistical Area Level 3","Gold Coast - North","Annual","Median total personal income ($/weekly)","2011",525,
"Queensland","Statistical Area Level 3","Gold Coast Hinterland","Annual","Median total personal income ($/weekly)","2001",362,
"Queensland","Statistical Area Level 3","Gold Coast Hinterland","Annual","Median total personal income ($/weekly)","2006",462,
"Queensland","Statistical Area Level 3","Gold Coast Hinterland","Annual","Median total personal income ($/weekly)","2011",539,
"Queensland","Statistical Area Level 3","Mudgeeraba - Tallebudgera","Annual","Median total personal income ($/weekly)","2001",383,
"Queensland","Statistical Area Level 3","Mudgeeraba - Tallebudgera","Annual","Median total personal income ($/weekly)","2006",491,
"Queensland","Statistical Area Level 3","Mudgeeraba - Tallebudgera","Annual","Median total personal income ($/weekly)","2011",574,
"Queensland","Statistical Area Level 3","Nerang","Annual","Median total personal income ($/weekly)","2001",376,
"Queensland","Statistical Area Level 3","Nerang","Annual","Median total personal income ($/weekly)","2006",484,
"Queensland","Statistical Area Level 3","Nerang","Annual","Median total personal income ($/weekly)","2011",564,
"Queensland","Statistical Area Level 3","Ormeau - Oxenford","Annual","Median total personal income ($/weekly)","2001",395,
"Queensland","Statistical Area Level 3","Ormeau - Oxenford","Annual","Median total personal income ($/weekly)","2006",525,
"Queensland","Statistical Area Level 3","Ormeau - Oxenford","Annual","Median total personal income ($/weekly)","2011",647,
"Queensland","Statistical Area Level 3","Robina","Annual","Median total personal income ($/weekly)","2001",365,
"Queensland","Statistical Area Level 3","Robina","Annual","Median total personal income ($/weekly)","2006",471,
"Queensland","Statistical Area Level 3","Robina","Annual","Median total personal income ($/weekly)","2011",540,
"Queensland","Statistical Area Level 3","Southport","Annual","Median total personal income ($/weekly)","2001",347,
"Queensland","Statistical Area Level 3","Southport","Annual","Median total personal income ($/weekly)","2006",444,
"Queensland","Statistical Area Level 3","Southport","Annual","Median total personal income ($/weekly)","2011",495,
"Queensland","Statistical Area Level 3","Surfers Paradise","Annual","Median total personal income ($/weekly)","2001",429,
"Queensland","Statistical Area Level 3","Surfers Paradise","Annual","Median total personal income ($/weekly)","2006",542,
"Queensland","Statistical Area Level 3","Surfers Paradise","Annual","Median total personal income ($/weekly)","2011",615,
"Queensland","Statistical Area Level 3","Forest Lake - Oxley","Annual","Median total personal income ($/weekly)","2001",335,
"Queensland","Statistical Area Level 3","Forest Lake - Oxley","Annual","Median total personal income ($/weekly)","2006",440,
"Queensland","Statistical Area Level 3","Forest Lake - Oxley","Annual","Median total personal income ($/weekly)","2011",531,
"Queensland","Statistical Area Level 3","Ipswich Hinterland","Annual","Median total personal income ($/weekly)","2001",296,
"Queensland","Statistical Area Level 3","Ipswich Hinterland","Annual","Median total personal income ($/weekly)","2006",380,
"Queensland","Statistical Area Level 3","Ipswich Hinterland","Annual","Median total personal income ($/weekly)","2011",469,
"Queensland","Statistical Area Level 3","Ipswich Inner","Annual","Median total personal income ($/weekly)","2001",346,
"Queensland","Statistical Area Level 3","Ipswich Inner","Annual","Median total personal income ($/weekly)","2006",453,
"Queensland","Statistical Area Level 3","Ipswich Inner","Annual","Median total personal income ($/weekly)","2011",561,
"Queensland","Statistical Area Level 3","Springfield - Redbank","Annual","Median total personal income ($/weekly)","2001",379,
"Queensland","Statistical Area Level 3","Springfield - Redbank","Annual","Median total personal income ($/weekly)","2006",504,
"Queensland","Statistical Area Level 3","Springfield - Redbank","Annual","Median total personal income ($/weekly)","2011",644,
"Queensland","Statistical Area Level 3","Beaudesert","Annual","Median total personal income ($/weekly)","2001",306,
"Queensland","Statistical Area Level 3","Beaudesert","Annual","Median total personal income ($/weekly)","2006",387,
"Queensland","Statistical Area Level 3","Beaudesert","Annual","Median total personal income ($/weekly)","2011",464,
"Queensland","Statistical Area Level 3","Beenleigh","Annual","Median total personal income ($/weekly)","2001",322,
"Queensland","Statistical Area Level 3","Beenleigh","Annual","Median total personal income ($/weekly)","2006",432,
"Queensland","Statistical Area Level 3","Beenleigh","Annual","Median total personal income ($/weekly)","2011",526,
"Queensland","Statistical Area Level 3","Browns Plains","Annual","Median total personal income ($/weekly)","2001",376,
"Queensland","Statistical Area Level 3","Browns Plains","Annual","Median total personal income ($/weekly)","2006",477,
"Queensland","Statistical Area Level 3","Browns Plains","Annual","Median total personal income ($/weekly)","2011",586,
"Queensland","Statistical Area Level 3","Jimboomba","Annual","Median total personal income ($/weekly)","2001",409,
"Queensland","Statistical Area Level 3","Jimboomba","Annual","Median total personal income ($/weekly)","2006",520,
"Queensland","Statistical Area Level 3","Jimboomba","Annual","Median total personal income ($/weekly)","2011",627,
"Queensland","Statistical Area Level 3","Loganlea - Carbrook","Annual","Median total personal income ($/weekly)","2001",385,
"Queensland","Statistical Area Level 3","Loganlea - Carbrook","Annual","Median total personal income ($/weekly)","2006",496,
"Queensland","Statistical Area Level 3","Loganlea - Carbrook","Annual","Median total personal income ($/weekly)","2011",602,
"Queensland","Statistical Area Level 3","Springwood - Kingston","Annual","Median total personal income ($/weekly)","2001",345,
"Queensland","Statistical Area Level 3","Springwood - Kingston","Annual","Median total personal income ($/weekly)","2006",452,
"Queensland","Statistical Area Level 3","Springwood - Kingston","Annual","Median total personal income ($/weekly)","2011",539,
"Queensland","Statistical Area Level 3","Bowen Basin - North","Annual","Median total personal income ($/weekly)","2001",401,
"Queensland","Statistical Area Level 3","Bowen Basin - North","Annual","Median total personal income ($/weekly)","2006",586,
"Queensland","Statistical Area Level 3","Bowen Basin - North","Annual","Median total personal income ($/weekly)","2011",971,
"Queensland","Statistical Area Level 3","Mackay","Annual","Median total personal income ($/weekly)","2001",341,
"Queensland","Statistical Area Level 3","Mackay","Annual","Median total personal income ($/weekly)","2006",499,
"Queensland","Statistical Area Level 3","Mackay","Annual","Median total personal income ($/weekly)","2011",682,
"Queensland","Statistical Area Level 3","Whitsunday","Annual","Median total personal income ($/weekly)","2001",426,
"Queensland","Statistical Area Level 3","Whitsunday","Annual","Median total personal income ($/weekly)","2006",554,
"Queensland","Statistical Area Level 3","Whitsunday","Annual","Median total personal income ($/weekly)","2011",660,
"Queensland","Statistical Area Level 3","Bribie - Beachmere","Annual","Median total personal income ($/weekly)","2001",267,
"Queensland","Statistical Area Level 3","Bribie - Beachmere","Annual","Median total personal income ($/weekly)","2006",344,
"Queensland","Statistical Area Level 3","Bribie - Beachmere","Annual","Median total personal income ($/weekly)","2011",418,
"Queensland","Statistical Area Level 3","Caboolture","Annual","Median total personal income ($/weekly)","2001",304,
"Queensland","Statistical Area Level 3","Caboolture","Annual","Median total personal income ($/weekly)","2006",402,
"Queensland","Statistical Area Level 3","Caboolture","Annual","Median total personal income ($/weekly)","2011",505,
"Queensland","Statistical Area Level 3","Caboolture Hinterland","Annual","Median total personal income ($/weekly)","2001",286,
"Queensland","Statistical Area Level 3","Caboolture Hinterland","Annual","Median total personal income ($/weekly)","2006",376,
"Queensland","Statistical Area Level 3","Caboolture Hinterland","Annual","Median total personal income ($/weekly)","2011",466,
"Queensland","Statistical Area Level 3","Narangba - Burpengary","Annual","Median total personal income ($/weekly)","2001",348,
